component,model,district,year,value
Drought,CHIRPS,Namakwa,2015,-0.13
Drought,CHIRPS,Chris Hani,2015,-0.21
Drought,CHIRPS,OR Tambo,2015,0.03
Drought,CHIRPS,Pixley ka Seme,2015,-0.17
Drought,CHIRPS,Joe Gqabi,2015,-0.07
Drought,CHIRPS,Alfred Nzo,2015,0.13
Drought,CHIRPS,Ugu,2015,0.12
Drought,CHIRPS,Xhariep,2015,-0.16
Drought,CHIRPS,Harry Gwala,2015,0.36
Drought,CHIRPS,eThekwini,2015,0.54
Drought,CHIRPS,uMgungundlovu,2015,0.73
Drought,CHIRPS,ZF Mgcawu,2015,-0.17
Drought,CHIRPS,iLembe,2015,1.68
Drought,CHIRPS,Mangaung,2015,-0.21
Drought,CHIRPS,Thabo Mofutsanyane,2015,0.08
Drought,CHIRPS,uThukela,2015,0.63
Drought,CHIRPS,uMzinyathi,2015,1.07
Drought,CHIRPS,King Cetshwayo,2015,2.45
Drought,CHIRPS,Lejweleputswa,2015,0.24
Drought,CHIRPS,Frances Baard,2015,0.21
Drought,CHIRPS,Zululand,2015,1.44
Drought,CHIRPS,uMkhanyakude,2015,0.41
Drought,CHIRPS,Fezile Dabi,2015,0.07
Drought,CHIRPS,Amajuba,2015,0.89
Drought,CHIRPS,Dr Ruth Segomotsi Mompati,2015,0.79
Drought,CHIRPS,John Taolo Gaetsewe,2015,0.05
Drought,CHIRPS,Dr Kenneth Kaunda,2015,0.17
Drought,CHIRPS,Gert Sibande,2015,0.09
Drought,CHIRPS,Ngaka Modiri Molema,2015,1.06
Drought,CHIRPS,Sedibeng,2015,-0.21
Drought,CHIRPS,West Rand,2015,-0.07
Drought,CHIRPS,Ekurhuleni,2015,-0.1
Drought,CHIRPS,City of Johannesburg,2015,-0.19
Drought,CHIRPS,Nkangala,2015,0.15
Drought,CHIRPS,Bojanala,2015,0.94
Drought,CHIRPS,City of Tshwane,2015,-0.11
Drought,CHIRPS,Ehlanzeni,2015,-0.24
Drought,CHIRPS,Sekhukhune,2015,-0.14
Drought,CHIRPS,Waterberg,2015,0.3
Drought,CHIRPS,Capricorn,2015,-0.2
Drought,CHIRPS,Mopani,2015,-0.15
Drought,CHIRPS,Vhembe,2015,-0.1
Drought,CHIRPS,Overberg,2016,-0.24
Drought,CHIRPS,Garden Route,2016,-0.19
Drought,CHIRPS,City of Cape Town,2016,-0.15
Drought,CHIRPS,Cacadu,2016,-0.15
Drought,CHIRPS,Cape Winelands,2016,-0.18
Drought,CHIRPS,Nelson Mandela Bay,2016,-0.14
Drought,CHIRPS,West Coast,2016,-0.21
Drought,CHIRPS,Central Karoo,2016,-0.22
Drought,CHIRPS,Amathole,2016,-0.26
